platform,release_date,game_name,db_name,year
PC,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
PS2,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
XB,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
GC,"Aug 11, 2003",Madden NFL 2004,Madden NFL 2004,2003.0
PC,"Nov 04, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
PS2,"Nov 07, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
XB,"Oct 24, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
GC,"Oct 24, 2003",FIFA Soccer 2004,FIFA Soccer 2004,2003.0
Wii,"Sep 23, 2008",LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008.0
PS2,"Sep 23, 2008",LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008.0
PS2,"Nov 11, 2005",WWE SmackDown! vs. Raw 2006,wwe Smackdown vs. Raw 2006,2005.0
PSP,"Nov 14, 2005",WWE SmackDown! vs. Raw 2006,wwe Smackdown vs. Raw 2006,2005.0
2600,TBD,Space Invaders,Space Invaders,
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
GBA,"Nov 30, 2001",Frogger's Adventures: Temple of the Frog,Frogger's Adventures: Temple of the Frog,2001.0
Wii,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PC,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PS2,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PS3,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
X360,"Jun 03, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
PSP,"Jun 06, 2008",LEGO Indiana Jones: The Original Adventures,LEGO Indiana Jones: The Original Adventures,2008.0
Wii,"Nov 07, 2006",Call of Duty 3,Call of Duty 3,2006.0
PS2,"Nov 07, 2006",Call of Duty 3,Call of Duty 3,2006.0
PS3,"Nov 07, 2006",Call of Duty 3,Call of Duty 3,2006.0
XB,"Nov 14, 2006",Call of Duty 3,Call of Duty 3,2006.0
X360,"Nov 14, 2006",Call of Duty 3,Call of Duty 3,2006.0
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
Wii,"Nov 09, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
PC,"Nov 09, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
PS3,"Nov 18, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
X360,"Nov 09, 2010",Call of Duty: Black Ops,Call of Duty: Black Ops,2010.0
DS,"Sep 01, 2011",Call of Duty: Black Ops,Call of Duty: Black Ops,2011.0
Wii,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PS2,"Dec 17, 2007",Rock Band,Rock Band,2007.0
PS3,"Jun 22, 2008",Rock Band,Rock Band,2008.0
X360,"Nov 20, 2007",Rock Band,Rock Band,2007.0
PC,"Mar 28, 1998",Triple Play 99,Triple Play 99,1998.0
PS,TBD,Triple Play 99,Triple Play 99,
2600,Dec 1979,Adventure,Adventure,1979.0
PSP,"Sep 23, 2008",LEGO Batman: The Videogame,LEGO Batman: The Videogame,2008.0
2600,1982,Combat Two,Combat,1982.0
Wii,"Mar 09, 2012",LEGO Harry Potter: Years 5-7,LEGO Harry Potter: Years 5-7,2012.0
